name,title,char,color,cost,num,generate,damage,repair,shield,stall,short,hack,teleport,action_targeting,range,description
repair_diagnostic,Repair Diagnostic ,⊎,#8ec07c,1,11,0,0,1,0,0,0,0,0,burst_targeting,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
repair_kit,Repair Kit,⊎,#83a598,2,12,0,0,2,0,0,0,0,0,burst_targeting,0,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
network_generator,Network Generator,⋣,#fabd2f,3,13,8,0,0,0,0,0,0,0,burst_targeting,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
rardioisotopic_integument,Radioisotopic Integument,⎅,#83a598,2,14,4,0,0,2,0,0,0,0,burst_targeting,0,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
clay_kit,Clay Kit,⊎,#8ec07c,1,15,0,0,1,0,0,0,0,0,burst_targeting,0,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
convecting_integument,Convecting Integument,⎅,#fabd2f,3,16,5,0,0,2,0,0,0,0,burst_targeting,0,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
photophoretic_beam,Photophoretic Beam,⥅,#fb4934,5,17,7,2,0,0,0,0,1,0,burst_targeting,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
actuated_shield,Actuated Shield,⎔,#83a598,2,18,0,1,0,1,0,0,0,0,burst_targeting,1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
rotary_hammer,Rotary Shield,⎔,#fabd2f,3,19,0,2,0,1,1,0,0,0,burst_targeting,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
soaking_burst,Soaking Burst,꙳,#fb4934,5,20,7,2,0,0,1,0,0,0,burst_targeting,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
area_charge,Area Charge,꙳,#fb4934,5,21,6,4,0,0,0,0,0,0,burst_targeting,2,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
raman_generator,Raman Generator,⋣,#fb4934,5,22,7,1,0,0,0,0,0,0,burst_targeting,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
spectrophotometer,Spectrophotometer,⎃,#83a598,2,23,0,0,0,0,0,0,1,0,hit_targeting,1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
barbed_integument,Barbed Integument,⎅,#83a598,2,24,0,1,0,1,0,0,0,0,hit_targeting,1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
ablating_laser,Ablating Laser,⭇,#fabd2f,3,25,0,1,0,0,0,0,0,0,hit_targeting,1,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
rubidium_sink,Rubidium Sink,⥂,#ebdbb2,6,26,9,3,0,0,0,0,0,0,hit_targeting,1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
tunable_sink,Tunable Sink,⥂,#83a598,2,27,4,1,0,0,0,0,0,0,hit_targeting,1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
thermal_camera,Thermal Camera,⎃,#fe8019,4,28,6,0,0,0,0,0,2,0,hit_targeting,1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
diffuse_generator,Diffuse Sink,⥂,#83a598,2,29,4,1,0,0,0,0,0,0,hit_targeting,1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
heat_sink,Heat Sink,⥂,#fabd2f,3,30,5,1,0,0,1,0,0,0,hit_targeting,1,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
hydro_sink,Hydro Sink,⥂,#fe8019,4,31,6,1,0,0,0,1,0,0,hit_targeting,1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
thermoelectric_impactor,Thermoelectric Impactor,⇀,#fe8019,4,32,6,1,0,2,0,0,0,0,hit_targeting,1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
magnetic_piston,Magnetic Piston,⇀,#8ec07c,1,33,0,1,0,0,0,0,0,0,hit_targeting,1,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
sonic_module,Sonic Module,◌,#8ec07c,1,34,2,1,0,0,0,0,0,0,hit_targeting,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
pulse_shield,Pulse Shield,⎔,#fabd2f,3,35,0,2,0,0,0,0,0,0,hit_targeting,1,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
electron_blaster,Electron Blaster,⥱,#fb4934,5,36,7,0,0,0,0,0,2,0,hit_targeting,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
quantumn_probe,Quantumn Probe,⎃,#ebdbb2,6,37,9,4,0,0,0,0,1,0,hit_targeting,1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
ohm_probe,Ohm Probe,⎃,#83a598,2,38,0,0,0,0,0,0,1,0,hit_targeting,1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
spiked_integument,Spiked Integument,⎅,#fabd2f,3,39,0,2,0,1,0,0,0,0,hit_targeting,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
ohm_shocker,Ohm Shocker,⇝,#fb4934,5,40,0,3,0,0,0,1,0,0,hit_targeting,1,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
unstable_analyzer,Unstable Analyzer,⎃,#ebdbb2,6,41,9,0,0,0,1,0,3,0,hit_targeting,1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
analyzing_flash,Analyzing Flash,⎃,#8ec07c,1,42,0,1,0,0,0,0,1,0,hit_targeting,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
ore_launcher,Ore Launcher,⤼,#83a598,2,43,0,2,0,0,0,0,0,0,hit_targeting,1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
dark_scanner,Dark Scanner,⎃,#fe8019,4,44,0,2,3,0,0,0,1,1,hit_targeting,1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
cybernetic_draw,Cybernetic Draw,⥂,#fb4934,5,45,0,3,3,0,1,0,0,0,hit_targeting,1,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
gas_laser,Gas Laser,⭇,#83a598,2,46,0,1,0,0,0,0,0,0,hit_targeting,2,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
chemical_laser,Chemical Laser,⭇,#fe8019,4,47,0,3,0,0,0,0,0,0,hit_targeting,2,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
solidstate_laser,Solid-State Laser,⭇,#83a598,2,48,0,1,0,0,0,0,0,0,hit_targeting,2,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
electromagnetic_laser,Electromagnetic Laser,⭇,#fabd2f,3,49,4,1,0,0,1,0,0,0,hit_targeting,2,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
fiber_laser,Fiber Laser,⭇,#fe8019,4,50,6,2,0,0,1,0,0,0,hit_targeting,2,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
freeelectron_transporter,Free-Electron Transporter,⤮,#83a598,2,51,0,0,0,0,1,0,0,1,hit_targeting,2,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
decibel_cannon,Decibel Cannon,◌,#fe8019,4,52,0,2,0,0,1,1,0,0,hit_targeting,2,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
ohm_generator,Ohm Generator,⋣,#8ec07c,1,53,2,1,0,0,0,0,0,0,hit_targeting,2,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
electric_mace,Electric Mace,⇀,#8ec07c,1,54,0,2,0,0,0,0,0,0,hit_targeting,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
tactical_railgun,Tactical Railgun,⥱,#83a598,2,55,0,1,0,0,0,0,0,0,hit_targeting,2,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
chilling_blaster,Chilling Blaster,⥱,#fe8019,4,56,0,2,0,0,0,1,0,0,hit_targeting,2,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
blizzard_launcher,Blizzard Launcher,⤼,#fb4934,5,57,8,1,0,0,0,0,0,0,hit_targeting,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
excimer_laser,Excimer Laser,⭇,#fb4934,5,58,0,1,0,0,0,0,0,0,hit_targeting,3,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
exotic_laser,Exotic Laser,⭇,#fabd2f,3,59,4,2,0,0,1,0,0,0,hit_targeting,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
infrared_laser,Infrared Laser,⭇,#fb4934,5,60,0,0,0,0,0,1,2,0,hit_targeting,3,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
voltage_clamp,Voltage Transporter,⤮,#fabd2f,3,61,0,1,0,0,0,0,1,1,hit_targeting,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
isometric_transporter,Isometric Transporter,⤮,#ebdbb2,6,62,0,2,0,0,0,0,1,1,hit_targeting,3,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
assault_blaster,Assault Blaster,⥱,#fabd2f,3,63,0,2,0,0,0,0,0,0,hit_targeting,3,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
metallic_blaster,Metallic Blaster,⥱,#fe8019,4,64,0,5,0,0,0,0,0,0,hit_targeting,3,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
copper_railgun,Copper Railgun,⥱,#fb4934,5,65,0,6,0,0,0,0,0,0,hit_targeting,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
neutron_launcher,Neutron Launcher,⤼,#fe8019,4,66,0,1,0,0,0,0,0,0,hit_targeting,3,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
luminous_kit,Luminous Transporter,⤮,#83a598,2,67,0,0,1,0,0,0,0,1,hit_targeting,3,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
flame_detector,Flame Detector,⎃,#fe8019,4,68,0,2,0,0,0,0,1,0,hit_targeting,3,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
aura_displacer,Aura Displacer,⇀,#fb4934,5,69,9,1,2,0,1,0,0,0,hit_targeting,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
sensory_igniter,Sensory Igniter,⎃,#ebdbb2,6,70,0,2,0,0,0,0,3,0,hit_targeting,3,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
volt_probe,Volt Sink,⥂,#ebdbb2,6,71,9,3,2,0,0,1,0,0,hit_targeting,3,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
banana_peel,Banana Peel,⇀,#ebdbb2,6,72,0,2,0,0,0,0,0,0,hit_targeting,3,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
electromagnetic_beam,Electromagnetic Beam,⥅,#ebdbb2,6,73,0,3,0,0,1,1,0,0,hit_targeting,4,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
photonic_laser,Photonic Laser,⭇,#fb4934,5,74,0,3,0,0,0,0,0,0,hit_targeting,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
range_launcher,Range Launcher,⤼,#ebdbb2,6,75,0,10,0,0,0,0,0,0,hit_targeting,4,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
magnetic_sniper,Magnetic Sniper,⥱,#83a598,2,76,0,1,0,0,0,0,0,0,hit_targeting,4,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
proton_launcher,Proton Launcher,⤼,#fb4934,5,77,0,1,0,0,0,0,0,0,hit_targeting,4,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
pull_blade,Pull Blade,⇀,#fe8019,4,78,6,4,0,0,0,0,0,0,hit_targeting,4,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
quantumn_transplanter,Quantumn Transplanter,⤮,#fabd2f,3,79,0,3,0,0,0,0,0,0,hit_targeting,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
semiconductor_laser,Semiconductor laser,⭇,#ebdbb2,6,80,0,4,0,0,0,1,0,0,hit_targeting,5,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
positronium_transporter,Positronium Transporter,⤮,#ebdbb2,6,81,0,3,0,0,1,0,1,1,hit_targeting,5,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
range_irradiator,Range Irradiator,⇝,#ebdbb2,6,82,0,4,0,0,0,0,0,0,hit_targeting,5,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
zenith_generator,Zenith Generator,⋣,#fabd2f,3,83,5,0,0,0,0,0,0,1,hit_targeting,6,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
helical_rarilgun,Helical Railgun,⥱,#fabd2f,3,84,0,2,0,0,0,0,0,0,pierce_targeting,3,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
plasma_railgun,Plasma Railgun,⥱,#fabd2f,3,85,0,2,0,0,0,0,0,0,pierce_targeting,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
regenerative_bolt,Regenerative Bolt,⥱,#ebdbb2,6,86,0,2,2,3,0,0,0,0,pierce_targeting,3,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
ionized_detector,Ionized Detector,⎃,#fe8019,4,87,0,1,0,0,0,0,1,0,pierce_targeting,4,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
spiked_themocouple,Spiked Thermocouple,⎃,#fb4934,5,88,0,0,0,0,0,1,1,0,pierce_targeting,5,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
gas_railgun,Gas Railgun,⥱,#ebdbb2,6,89,0,2,0,0,0,0,0,0,pierce_targeting,6,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
Slashing Displacer,Slashing Displacer,⇀,#ebdbb2,6,90,0,1,0,0,0,1,0,0,pierce_targeting,7,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
